0	道南いさりび	どうなんいさりひ
1	北海道新幹線	ほっかいどうしん
2	海峡	かいきょう
3	札沼	さっしょう
4	北陸新幹線	ほくりくしんかんせ
5	石勝	せきしょう
6	石勝２	せきしょう2
7	石北	せきほく
8	釧網	せんもう
9	宗谷	そうや
10	千歳	ちとせ
11	千歳２	ちとせ2
12	根室	ねむろ
13	函館	はこだて
14	函館２	はこだて2
15	信越３	しんえつ3
16	日高	ひだか
17	富良野	ふらの
18	室蘭	むろらん
19	室蘭２	むろらん2
20	留萌	るもい
21	津軽	つがる
22	東北	とうほく
23	大湊	おおみなと
24	八戸	はちのへ
25	奥羽	おうう
26	五能	ごのう
27	花輪	はなわ
28	山田	やまだ
29	山形新幹線	やまがたしんかん
30	釜石	かまいし
31	男鹿	おが
32	羽越	うえつ
33	田沢湖	たざわこ
34	北上	きたかみ
35	東北新幹線	とうほくしんかんせ
36	大船渡	おおふなと
37	気仙沼	けせんぬま
38	石巻	いしのまき
39	仙石	せんせき
40	東北３	とうほく3
41	陸羽東	りくうとう
42	陸羽西	りくうさい
43	左沢	あてらざわ
44	仙山	せんざん
45	常磐	じょうばん
46	只見	ただみ
47	磐越東	ばんえつとう
48	磐越西	ばんえつさい
49	白新	はくしん
50	上越新幹線	じょうえつしんか
51	上越	じょうえつ
52	上越２	じょうえつ2
53	越後	えちご
54	弥彦	やひこ
55	信越１	しんえつ1
56	飯山	いいやま
57	吾妻	あがつま
58	両毛	りょうもう
59	水郡	すいぐん
60	水郡２	すいぐん2
61	水戸	みと
62	烏山	からすやま
63	日光	にっこう
64	高崎	たかさき
65	米坂	よねさか
66	東海道	とうかいどう
67	総武	そうぶ
68	総武２	そうぶ2
69	成田	なりた
70	成田２	なりた2
71	成田３	なりた3
72	鹿島	かしま
73	京葉	けいよう
74	京葉２	けいよう2
75	内房	うちぼう
76	外房	そとぼう
77	東金	とうがね
78	久留里	くるり
79	武蔵野	むさしの
80	東北２	とうほく2
81	埼京	さいきょう
82	山手２	やまのて2
83	中央東	ちゅうおうとう
84	新幹線	しんかんせん
85	東海道３	とうかいどう3
86	南武	なんぶ
87	南武２	なんぶ2
88	川越	かわごえ
89	八高	はちこう
90	青梅	おうめ
91	五日市	いつかいち
92	鶴見	つるみ
93	鶴見２	つるみ2
94	鶴見３	つるみ3
95	横浜	よこはま
96	横須賀	よこすか
97	根岸	ねぎし
98	相模	さがみ
99	山陽	さんよう
100	山陽２	さんよう2
101	伊東	いとう
102	御殿場	ごてんば
103	身延	みのぶ
104	飯田	いいだ
105	中央２	ちゅうおう2
106	篠ノ井	しののい
107	小海	こうみ
108	大糸	おおいと
109	東海道２	とうかいどう2
110	中央西	ちゅうおうさい
111	高山	たかやま
112	太多	たいた
113	武豊	たけとよ
114	関西	かんさい
115	紀勢	きせい
116	名松	めいしょう
117	参宮	さんぐう
118	北陸	ほくりく
119	湖西	こせい
120	越美北	えつみほく
121	七尾	ななお
122	氷見	ひみ
123	城端	じょうはな
124	鹿児島２	かごしま2
125	草津	くさつ
126	奈良	なら
127	片町	かたまち
128	大阪環状	おおさかかんじょ
129	おおさか東	おおさかひがし
130	和歌山	わかやま
131	桜井	さくらい
132	阪和	はんわ
133	阪和２	はんわ2
134	関西空港	かんさいくうこう
135	小浜	おばま
136	舞鶴	まいづる
137	山陰	さんいん
138	福知山	ふくちやま
139	加古川	かこがわ
140	山陰２	さんいん2
141	美祢	みね
142	九州新幹線	きゅうしゅうしんか
143	山口	やまぐち
144	可部	かべ
145	宇部	うべ
146	小野田	おのだ
147	小野田２	おのだ2
148	呉	くれ
149	伯備	はくび
150	播但	ばんたん
151	赤穂	あこう
152	姫新	きしん
153	津山	つやま
154	因美	いんび
155	吉備	きび
156	芸備	げいび
157	木次	きすき
158	福塩	ふくえん
159	東北４	とうほく4
160	境	さかい
161	宇野	うの
162	本四備讃	ほんしびさん
163	予讃	よさん
164	予讃２	よさん2
165	予讃３	よさん3
166	内子	うちこ
167	土讃	どさん
168	予土	よど
169	高徳	こうとく
170	鳴門	なると
171	徳島	とくしま
172	牟岐	むぎ
173	鹿児島１	かごしま1
174	博多南	はかたみなみ
175	筑豊	ちくほう
176	香椎	かしい
177	篠栗	ささぐり
178	後藤寺	ごとうじ
179	日田彦山	ひたひこさん
180	日豊	にっぽう
181	久大	きゅうだい
182	豊肥	ほうひ
183	三角	みすみ
184	指宿枕崎	いぶすきまくらさ
185	日南	にちなん
186	長崎	ながさき
187	長崎２	ながさき2
188	唐津	からつ
189	筑肥２	ちくひ2
190	筑肥	ちくひ
191	佐世保	させぼ
192	大村	おおむら
193	桜島	さくらじま
194	肥薩	ひさつ
195	吉都	きっと
196	岩徳	がんとく
197	山手１	やまのて1
198	伊勢鉄道	いせてつどう
199	土佐くろしお	とさくろしおてつと
200	智頭急行	ちずきゅうこう
201	宮崎空港	みやざきくうこう
202	北越急行	ほくえつきゅうこう
203	ＪＲ東西	じぇいあーるとう
204	WT宮津	みやづ
205	WT宮福	みやふく
206	青い森鉄道	あおいもりてつど
207	いわて銀河	いわてぎんがて
208	気仙沼BRT	けせんぬまびーあ
209	大船渡BRT	おおふなとびーあ
210	信越２	しんえつ2
211	SR北しなの	きたしなの
212	ET妙高はねうま	みょうこうはねうま
213	ET日本海ひすい	にほんかいひすい
214	あいの風とやま	あいのかぜとやま
215	IRいしかわ	あいあーるいしかわ